condicional,futuro,gerundio,imperfecto,imperfecto subj,infinitivo,participio,presente,presente durativo,presente subj,pretérito,pretérito perf,pretérito pluscuam,verb,type
2,9,106,49,10,244,15,13905,4,12,36,8,4,nadar,document
27,187,921,933,0,3129,1267,4429,49,323,2417,579,158,observar,token
24,137,493,332,0,1403,735,1741,46,236,930,389,118,observar,document
14,26,499,625,45,933,117,5107,16,47,355,48,22,pasear,token
14,25,319,340,41,498,96,2056,14,45,243,43,19,pasear,document
334,557,3998,5437,462,12188,2883,15580,577,1626,8298,1205,589,pensar,token
236,383,1678,1769,320,4382,1357,5732,392,984,2247,698,323,pensar,document
24,66,259,500,60,582,736,1504,7,122,244,77,32,perseguir,token
21,50,215,351,55,421,481,1045,7,110,216,72,25,perseguir,document
19,33,481,603,75,880,698,10164,69,98,575,173,195,soñar,token
17,19,294,335,39,495,408,2578,54,78,332,131,130,soñar,document
15,20,345,559,48,475,30,478,54,73,198,14,12,temblar,token
13,18,196,196,37,300,25,278,45,55,125,12,11,temblar,document
67,310,3352,2255,176,7514,1733,49523,687,558,1961,1130,319,trabajar,token
61,255,2128,1184,156,3684,1229,15148,554,440,1256,866,238,trabajar,document
41,493,255,1069,95,1819,447,1420,14,14881,994,272,110,viajar,token
37,426,202,724,82,1167,375,952,14,5125,782,241,98,viajar,document
120,599,294,932,285,2881,718,2513,5,649,3106,293,311,acudir,token
103,493,244,517,228,1814,541,1498,5,518,2146,260,230,acudir,document
0,2,25,30,4,258,335,131,3,23,129,25,17,aparcar,token
0,2,24,27,4,183,247,84,3,22,95,21,15,aparcar,document
63,241,419,180,125,2942,1751,1326,102,461,1377,880,427,aprender,token
53,168,327,123,110,1342,952,772,95,312,766,648,210,aprender,document
23,86,505,632,65,2324,550,1740,25,246,741,216,159,beber,token
18,73,292,281,56,802,290,668,21,147,242,149,94,beber,document
92,191,683,934,148,5522,778,451497,79,1595,593,365,137,comer,token
75,143,396,400,118,1645,428,55481,68,888,330,250,99,comer,document
23,98,58,78,22,717,168,9644,5,139,244,83,10,concretar,token
23,82,50,62,21,574,156,4629,5,127,215,80,10,concretar,document
6,20,18,27,11,320,354,127,0,20,63,29,15,congelar,token
5,16,17,25,11,194,241,95,0,20,58,29,13,congelar,document
46,341,539,174,75,3843,1867,1417,181,217,1085,424,137,construir,token
41,266,439,143,67,2110,1078,839,164,185,603,345,108,construir,document
24,73,56,88,63,1496,2987,411,6,123,632,172,62,convencer,token
21,64,54,69,60,1064,1733,315,6,107,440,152,52,convencer,document
511,812,859,1019,395,2250,6134,6122,257,981,3953,3667,915,convertir,token
380,663,667,521,313,1587,3721,3116,245,813,2187,2732,437,convertir,document
